Date,Forecasted_Sales
2015-01-01,68999.37
2015-02-01,55679.52
2015-03-01,71150.66
2015-04-01,60701.73
2015-05-01,65790.14
2015-06-01,69740.51
2015-07-01,71245.64
2015-08-01,82220.82
2015-09-01,102867.07
2015-10-01,99868.9
2015-11-01,126809.97
2015-12-01,118952.9
